Timestamp;User;Case id;Log;Activity;Number of dialog steps
2025.03.11 09:57:20;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 09:58:07;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:01:20;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:02:38;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:03:05;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:04:01;GBIALL-001;1;FB02;Change Document;3
2025.03.11 10:04:40;GBIALL-001;1;FAGLB03;Display Balances;66
2025.03.11 10:07:18;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:07:29;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:09:22;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:10:34;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:12:39;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:13:02;GBIALL-001;1;FB03;Display Document;31
2025.03.11 10:14:30;GBIALL-001;1;FAGLB03;Display Balances;66
2025.03.11 10:17:50;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:19:08;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:20:17;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 10:23:29;GBIALL-001;1;FB03;Display Document;31
2025.03.11 10:24:06;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 10:24:23;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:24:54;GBIALL-001;1;FB50;Enter G/L Account Document;201
2025.03.11 10:25:21;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 10:25:41;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 10:26:03;GBIALL-001;1;FB03;Display Document;31
2025.03.11 10:27:21;GBIALL-001;1;FB03;Display Document;31
2025.03.11 10:28:27;GBIALL-001;1;FK01;Create Vendor (Accounting);25
2025.03.11 10:38:57;GBIALL-001;1;FK02;Change Vendor (Accounting);65
2025.03.11 10:43:16;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 10:49:11;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 10:49:53;GBIALL-001;1;FK10N;Vendor Balance Display;10
2025.03.11 10:51:05;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 10:53:36;GBIALL-001;1;F-53;Post Outgoing Payments;130
2025.03.11 10:54:33;GBIALL-001;1;F-53;Post Outgoing Payments;130
2025.03.11 10:55:52;GBIALL-001;1;F-53;Post Outgoing Payments;130
2025.03.11 10:56:42;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 10:58:46;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 11:00:28;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 11:01:07;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 11:01:28;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 11:03:03;GBIALL-001;1;FB08;Reverse Document;63
2025.03.11 11:03:28;GBIALL-001;1;FB03;Display Document;31
2025.03.11 11:05:09;GBIALL-001;1;FB09;Change Line Items;1
2025.03.11 11:05:41;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 11:06:44;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 11:08:06;GBIALL-001;1;FB60;Enter Incoming Invoices;185
2025.03.11 11:08:40;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 11:09:50;GBIALL-001;1;FB65;Enter Incoming Credit Memos;43
2025.03.11 11:11:58;GBIALL-001;1;FB65;Enter Incoming Credit Memos;43
2025.03.11 11:12:26;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 11:13:59;GBIALL-001;1;F-53;Post Outgoing Payments;130
2025.03.11 11:16:02;GBIALL-001;1;F-53;Post Outgoing Payments;130
2025.03.11 11:17:14;GBIALL-001;1;FBL1N;Vendor Line Items;32
2025.03.11 10:02:27;GBIALL-002;2;FB02;Change Document;3
2025.03.11 10:04:38;GBIALL-002;2;FAGLB03;Display Balances;70
2025.03.11 10:07:22;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 10:08:52;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 10:09:20;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 10:11:14;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 10:14:40;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 10:15:14;GBIALL-002;2;FAGLB03;Display Balances;70
2025.03.11 10:15:32;GBIALL-002;2;FB03;Display Document;1
2025.03.11 10:15:39;GBIALL-002;2;FB03L;Document Display : G/L View;1
2025.03.11 10:17:22;GBIALL-002;2;FAGLB03;Display Balances;70
2025.03.11 10:20:02;GBIALL-002;2;FB08;Reverse Document;15
2025.03.11 10:28:27;GBIALL-002;2;FK01;Create Vendor (Accounting);48
2025.03.11 10:39:09;GBIALL-002;2;FK02;Change Vendor (Accounting);87
2025.03.11 10:41:01;GBIALL-002;2;FK02;Change Vendor (Accounting);87
2025.03.11 10:43:51;GBIALL-002;2;FK01;Create Vendor (Accounting);48
2025.03.11 10:44:36;GBIALL-002;2;FK01;Create Vendor (Accounting);48
2025.03.11 10:45:01;GBIALL-002;2;FB60;Enter Incoming Invoices;98
2025.03.11 10:51:20;GBIALL-002;2;FB60;Enter Incoming Invoices;98
2025.03.11 10:52:04;GBIALL-002;2;FBL1N;Vendor Line Items;4
2025.03.11 10:53:33;GBIALL-002;2;F-53;Post Outgoing Payments;42
2025.03.11 11:01:36;GBIALL-002;2;FB08;Reverse Document;15
2025.03.11 23:15:11;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 23:18:08;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 23:20:13;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 23:21:19;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 23:22:32;GBIALL-002;2;FB50;Enter G/L Account Document;251
2025.03.11 09:50:33;GBIALL-005;5;SCC4;Client Administration;1
2025.03.11 09:56:54;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 09:57:51;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:01:20;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:02:47;GBIALL-005;5;FB02;Change Document;6
2025.03.11 10:04:17;GBIALL-005;5;FB02;Change Document;6
2025.03.11 10:04:27;GBIALL-005;5;FAGLB03;Display Balances;79
2025.03.11 10:07:15;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:07:32;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:09:04;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:10:37;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:12:30;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:12:57;GBIALL-005;5;FB03;Display Document;44
2025.03.11 10:13:07;GBIALL-005;5;FB00;Accounting Editing Options;1
2025.03.11 10:14:26;GBIALL-005;5;FAGLB03;Display Balances;79
2025.03.11 10:14:31;GBIALL-005;5;FAGLB03A;Display Balances;1
2025.03.11 10:14:33;GBIALL-005;5;FAGLB03;Display Balances;79
2025.03.11 10:18:02;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:19:29;GBIALL-005;5;FB50;Enter G/L Account Document;143
2025.03.11 10:20:02;GBIALL-005;5;FB08;Reverse Document;37
